episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.253476,0.148327,-0.281837,0.413205,0.253476,0.148327,-0.281837,0.413205,0.6267378628253937,13,0.3590816855430603,0.7066022753715515,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.329984,-0.255596,0.400935,,0.329984,-0.255596,0.400935,0.0,,,,,,,0.6649921834468842,0.811660647392273,0.7004675567150116,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.052962,-0.198564,0.016805,0.219084,0.052962,-0.198564,0.016805,0.219084,,,,,,,,,,0.5264811161905527,0.40071821957826614,286,0.6095419526100159,
1,4,verifier,verify_answer,verify_answer,0.7071,1,,0.501042,,,,0.501042,0.0,0.0,0.0,,,,,,,,,,,,,,0.750520795583725
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.062287,-0.026821,-0.112685,0.522661,0.062287,-0.026821,-0.112685,0.522661,0.5311436746269464,12,0.44365768879652023,0.761330634355545,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.440458,-0.26011,0.160038,,0.440458,-0.26011,0.160038,0.0,,,,,,,0.7202287912368774,0.8109834298491477,0.5800192058086395,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,-0.16661,-0.083668,0.308749,0.428852,-0.16661,-0.083668,0.308749,0.428852,,,,,,,,,,0.4166949838399887,0.45816582813858986,358,0.7144260704517365,
2,4,verifier,verify_answer,verify_answer,0.6391,1,,0.512933,,,,0.512933,0.0,0.0,0.0,,,,,,,,,,,,,,0.7564666569232941
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.245039,0.362215,-0.163417,0.749018,0.245039,0.362215,-0.163417,0.749018,0.6225197464227676,15,0.4182915538549423,0.8745091557502747,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.216813,0.001459,0.130964,,0.216813,0.001459,0.130964,0.0,,,,,,,0.6084066480398178,0.8502188284764998,0.5654820501804352,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.102798,-0.32363,0.112449,0.387359,-0.102798,-0.32363,0.112449,0.387359,,,,,,,,,,0.4486011974513531,0.3381848484277725,322,0.6936793178319931,
3,4,verifier,verify_answer,verify_answer,0.6839,1,,0.778951,,,,0.778951,0.0,0.0,0.0,,,,,,,,,,,,,,0.8894757330417633
4,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,-0.005686,0.223124,-0.172761,0.960717,-0.005686,0.223124,-0.172761,0.960717,0.4971567646134645,14,0.4136195108294487,0.9803586602210999,,,,,,,,,,
4,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.454929,0.025982,0.472362,,0.454929,0.025982,0.472362,0.0,,,,,,,0.7274644821882248,0.8538973614573478,0.7361811697483063,,,,,
4,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.256001,-0.662757,-0.154815,0.439225,0.256001,-0.662757,-0.154815,0.439225,,,,,,,,,,0.6280006766319275,0.16862133145332336,287,0.7196126133203506,
4,4,verifier,verify_answer,verify_answer,0.5735,1,,0.66874,,,,0.66874,0.0,0.0,0.0,,,,,,,,,,,,,,0.8343701064586639
5,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.041999,0.381263,-0.190486,0.50552,0.041999,0.381263,-0.190486,0.50552,0.5209993030875921,15,0.4047570824623108,0.7527601420879364,,,,,,,,,,
5,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.003484,-0.191114,0.14638,,0.003484,-0.191114,0.14638,0.0,,,,,,,0.5017422302626073,0.8213328339159488,0.5731898844242096,,,,,
5,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.132915,-0.169924,0.249202,0.353724,-0.132915,-0.169924,0.249202,0.353724,,,,,,,,,,0.4335423782467842,0.41503819823265076,337,0.6768617779016495,
5,4,verifier,verify_answer,verify_answer,0.6808,1,,0.557416,,,,0.557416,0.0,0.0,0.0,,,,,,,,,,,,,,0.7787077724933624
6,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,dense_retrieve,-0.02,0,grader,0.317906,0.142045,-0.041237,0.735835,0.317906,0.142045,-0.041237,0.735835,0.6589530557394028,13,0.47938162833452225,0.8679175674915314,,,,,,,,,,
6,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.107777,-0.215077,0.363223,,-0.107777,-0.215077,0.363223,0.0,,,,,,,0.4461115896701813,0.8177383810281753,0.6816116720438004,,,,,
6,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.10493,-0.290056,0.122837,0.336319,-0.10493,-0.290056,0.122837,0.336319,,,,,,,,,,0.4475352428853512,0.3549719452857971,316,0.6681596785783768,
6,4,verifier,verify_answer,verify_answer,0.7623,1,,0.568419,,,,0.568419,0.0,0.0,0.0,,,,,,,,,,,,,,0.7842095196247101
7,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,dense_retrieve,-0.02,0,grader,0.630484,-0.113591,-0.111562,0.578073,0.630484,-0.113591,-0.111562,0.578073,0.8152421116828918,11,0.4442189112305641,0.7890364229679108,,,,,,,,,,
7,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.134949,-0.192095,0.452016,,0.134949,-0.192095,0.452016,0.0,,,,,,,0.567474365234375,0.8211856879293918,0.7260078936815262,,,,,
7,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.021057,-0.481092,-0.029061,0.652718,0.021057,-0.481092,-0.029061,0.652718,,,,,,,,,,0.5105287116020918,0.2594541162252426,334,0.8263590633869171,
7,4,verifier,verify_answer,verify_answer,0.5501,1,,0.424245,,,,0.424245,0.0,0.0,0.0,,,,,,,,,,,,,,0.7121224999427795
8,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.540053,-0.142613,0.080674,0.448649,0.540053,-0.142613,0.080674,0.448649,0.7700265049934387,11,0.5403371937572956,0.724324569106102,,,,,,,,,,
8,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.001034,-0.171216,0.157312,,-0.001034,-0.171216,0.157312,0.0,,,,,,,0.49948298663366586,0.8243175424635409,0.5786561816930771,,,,,
8,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.06908,-0.589775,0.042588,0.161552,-0.06908,-0.589775,0.042588,0.161552,,,,,,,,,,0.4654599241912365,0.20511260628700256,282,0.5807758420705795,
8,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,0.432286,,,,0.432286,0.0,0.0,0.0,,,,,,,,,,,,,,0.716142863035202
8,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_regeneration,-0.07,0,generator,0.433649,,,,0.433649,0.0,0.0,0.0,,,,,,,,,,,,,,0.7168244123458862
